Linguagem_Tipo,Tamanho,Operacao,Tempo(ms),Memoria(bytes)
Go_ArrayManual,10000,adicaoIndice,0.008,16
Go_ArrayManual,10000,busca,0.008,0
Go_ArrayManual,10000,remocaoValor,0.010,0
Go_ArrayManual,10000,remocaoIndice,0.009,0
Go_ArrayNativo,10000,adicaoIndice,0.002,0
Go_ArrayNativo,10000,busca,0.004,0
Go_ArrayNativo,10000,remocaoValor,0.002,0
Go_ArrayNativo,10000,remocaoIndice,0.002,0
Go_ArrayManual,30000,adicaoIndice,0.024,48
Go_ArrayManual,30000,busca,0.024,0
Go_ArrayManual,30000,remocaoValor,0.029,0
Go_ArrayManual,30000,remocaoIndice,0.027,0
Go_ArrayNativo,30000,adicaoIndice,0.007,0
Go_ArrayNativo,30000,busca,0.011,0
Go_ArrayNativo,30000,remocaoValor,0.007,0
Go_ArrayNativo,30000,remocaoIndice,0.007,0
Go_ArrayManual,50000,adicaoIndice,0.039,80
Go_ArrayManual,50000,busca,0.039,0
Go_ArrayManual,50000,remocaoValor,0.048,0
Go_ArrayManual,50000,remocaoIndice,0.045,0
Go_ArrayNativo,50000,adicaoIndice,0.012,0
Go_ArrayNativo,50000,busca,0.019,0
Go_ArrayNativo,50000,remocaoValor,0.011,0
Go_ArrayNativo,50000,remocaoIndice,0.011,0
Go_ArrayManual,100000,adicaoIndice,0.077,161
Go_ArrayManual,100000,busca,0.079,0
Go_ArrayManual,100000,remocaoValor,0.094,0
Go_ArrayManual,100000,remocaoIndice,0.087,0
Go_ArrayNativo,100000,adicaoIndice,0.023,0
Go_ArrayNativo,100000,busca,0.037,0
Go_ArrayNativo,100000,remocaoValor,0.023,0
Go_ArrayNativo,100000,remocaoIndice,0.023,0
